id,instruction,context,dolly_category,tag,tag_reason
36,"Which of these is not like the other?  Baseball, basketball, rock, puck,",,,classification,要求判断哪个选项与其他不同类，属于类别区分任务
37,"I am looking at items on my desk right now, tell me which ones are actually considered office accessories.",,,general_qa,"Asking for identification of office accessories from items on the desk, which is a general knowledge question related to categorization but not strictly involving structured extraction, open-ended answers, or creative writing."
38,"Identify which instrument is string or percussion: Caxixi, Gunjac",,,classification,任务是对乐器进行分类
39,"Tell me whether these cities are in Italy or Switzerland: Milan, Florence, Zurich, Bern, Lucerne, Rome",,,classification,Assigning categories (country) to listed cities
40,"Classify each of the following into either a solid, liquid or gas: blood, xenon, gold, wood, neon, brick, milk, xenon, coffee, gases, helium",,,classification,"Assigning items to predefined categories (solid, liquid, gas)"
41,"Which is a bird or fish: Black grouse, Blackfish",,,classification,要求对给定名称进行类别区分
42,Which is a species of fish? Black Mamba or Black Sea Bass,,,closeqa,问题要求从两个选项中选择一个明确答案，属于封闭式知识问答
43,"Identify which instrument is string or percussion: Cowbell, Crwth",,,classification,要求对乐器进行类别划分
44,"Which of the following bodies of water are below sea level: Dead Sea, Lake Ontario, Sea of Galilee, the Hudson Bay, Lake Assal?",,,closeqa,问题要求从给定选项中准确选出低于海平面的水体，答案唯一且可通过地理知识直接判断。
45,"Classify each of the following as either characters from books by Anne Rice or Stephanie Meyer: Lestat de Lioncourt, Memnoch, Lasher, Armand, Yvette, Bella Swan, Edward Cullen, Jacob Black, Melanie Stryder, The Seeker",,,classification,任务是对给定名单中的角色进行归属分类，判断其出自哪位作家的作品，属于文本类别判定任务。
46,"When being in cold weather, categorize each of the following as ""Useful"" or ""Not Useful"": Coat, Air Condition, Ice, Beanie, Pants, Bikini",,,classification,文本要求对物品在寒冷天气中的用途进行分类
47,"Choose the word which is different from the rest:  Trigger, Muzzle, Pallete, Barrel, Bullet",,,classification,任务是判断哪个词与其他词不同，属于分类判断
48,Which is a species of fish? Plaice or Place,,,closeqa,问题询问特定知识，答案唯一确定
49,What is genomics?,,,open_qa,百科型提问，答案开放可多样
50,Which is a species of fish? Panga or Pangea,,,closeqa,问题要求从两个选项中选择一个明确的答案，且答案可通过事实知识直接验证。
51,Who was Loku Nilame Adikaram Ratwatte,,,open_qa,提问涉及历史人物身份，需开放性知识回答
52,Why does oil float on water?,,,open_qa,提问涉及科学原理，需解释现象，答案具有开放性和知识性
53,What are the three main nutrient groups?,,,open_qa,百科型提问，答案开放可多样
54,"What is ""diglossia""?",,,open_qa,提问关于术语定义，属于开放式知识问答
55,What is a dataset?,,,open_qa,提问关于概念定义，答案开放且需知识性解释
56,Who was Bran the Builder?,,,open_qa,提问涉及《冰与火之歌》中的人物背景，属于开放式知识问答
57,Which Targaryen conquered Westeros?,,,closeqa,问题询问特定历史事件的明确答案，有单一正确答案
58,Which artist made the hit song One More Time?,,,closeqa,问题询问特定信息，答案明确且唯一
59,Which parts do people train on the upper body?,,,open_qa,提问关于人体训练部位，属于开放式知识问答
60,Is the Tiger population Increasing in India?,,,closeqa,明确的封闭式问题，需具体数据或 fact-based 回答
61,What is the difference between archaeology and paleontology?,,,open_qa,开放式知识问答 comparing two fields
62,What is POP3 protocol?,,,open_qa,询问协议定义，属开放式知识问答
63,Who wrote The Picture of Dorian Grey in 1891,,,closeqa,问题询问具体作者信息，答案唯一且可从知识库直接获取。
64,What is the main language spoken in South America?,,,closeqa,询问单一明确答案的事实性问题
65,What is the name of the professional football team in Colorado?,,,closeqa,"Asks for a specific, factual answer with a single correct response."
66,What is an adjective?,,,closeqa,Definition of a grammatical term
67,Who was Calvin Parker MacDonald,,,open_qa,提问涉及人物背景信息，需百科或开放知识回答
68,How can I make the paint color purple from primary colors?,,,open_qa,问题询问如何通过混合原色得到紫色，属于开放式知识问答
69,What is the difference between the Debt Snowball and Debt Avalanche methods of paying off debt?,,,open_qa,提问涉及两种债务偿还方法的比较，属于开放式知识问答
70,Who wrote the second episode of season four of Game of Thrones?,,,closeqa,问题询问具体信息，答案单一明确
71,What are the official languages of Canada?,,,closeqa,问题询问加拿大的官方语言，答案明确且固定（英语和法语），属于封闭式问答。
72,What is a surf board used for?,,,closeqa,问题询问具体物品的用途，答案明确且单一。
73,At what temperature does water boil?,,,closeqa,问水沸腾的具体温度，答案明确单一
74,Air Lingus is the national airline of which country,,,closeqa,问题询问特定事实，答案明确且唯一
75,What country was Frida Kahlo from and what career was she famous for?,,,closeqa,问题询问明确事实，答案可从已知信息中直接获取
76,From the passage list down the various models of Tesla vehicle. List the results in comma separated format.,"Tesla, Inc. (/ˈtɛslə/ TESS-lə or /ˈtɛzlə/ TEZ-lə) is an American multinational automotive and clean energy company headquartered in Austin, Texas, United States. Tesla designs and manufactures electric vehicles (electric cars and trucks), battery energy storage from home to grid-scale, solar panels and solar roof tiles, and related products and services. Tesla is one of the world's most valuable companies and is, as of 2023, the world's most valuable automaker. In 2021, the company had the most worldwide sales of battery electric vehicles and plug-in electric vehicles, capturing 21% of the battery-electric (purely electric) market and 14% of the plug-in market (which includes plug-in hybrids). Through its subsidiary Tesla Energy, the company develops and is a major installer of photovoltaic systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3.99 gigawatt-hours (GWh) installed in 2021.

Tesla was incorporated in July 2003 by Martin Eberhard and Marc Tarpenning as Tesla Motors. The company's name is a tribute to inventor and electrical engineer Nikola Tesla. In February 2004, via a $6.5 million investment, Elon Musk became the largest shareholder of the company. He has served as CEO since 2008. According to Musk, the purpose of Tesla is to help expedite the move to sustainable transport and energy, obtained through electric vehicles and solar power. Tesla began production of its first car model, the Roadster sports car, in 2008. This was followed by the Model S sedan in 2012, the Model X SUV in 2015, the Model 3 sedan in 2017, the Model Y crossover in 2020, and the Tesla Semi truck in 2022. The company plans to start production of the Cybertruck light-duty pickup truck in 2023. The Model 3 is the all-time bestselling plug-in electric car worldwide, and, in June 2021, became the first electric car to sell 1 million units globally. Tesla's 2022 full year deliveries were around 1.31 million vehicles, a 40% increase over the previous year, and cumulative sales totaled 3 million cars as of August 2022. In October 2021, Tesla's market capitalization reached $1 trillion, the sixth company to do so in U.S. history.

Tesla has been the subject of several lawsuits, government scrutiny, journalistic criticism, and public controversies arising from statements and acts of CEO Elon Musk and from allegations of whistleblower retaliation, worker rights violations, and defects with their products.",,information_extraction,The task requires extracting specific structured information (Tesla vehicle models) from the provided text.
77,Who is Enrique Jorrín?,"The creation of cha-cha-chá has been traditionally attributed to Cuban composer and violinist Enrique Jorrín, who began his career playing for the charanga band Orquesta América. According to the testimony of Enrique Jorrín, he composed some danzones in which musicians of the orchestra had to sing short refrains, and this style was very successful. In the danzón ""Constancia"", he introduced some montunos and the audience was motivated to join in singing the refrains. Jorrín also asked the members of the orchestra to sing in unison so the lyrics might be heard more clearly and achieve a greater impact in the audience. That way of singing also helped to mask the poor singing skills of the orchestra members.",,closeqa,问题询问特定人物的身份，答案可以从提供的文本中直接提取。
78,What is Indian Premier League?,"The Indian Premier League (IPL) (also known as the TATA IPL for sponsorship reasons) is a men's Twenty20 (T20) cricket league held annually in India and contested by ten city-based franchise teams. The league was founded by the Board of Control for Cricket in India (BCCI) in 2007. Brijesh Patel is the incumbent chairman of the IPL. The competition is usually held annually in summer (between March and May) and has an exclusive window in the ICC Future Tours Programme, meaning that less international cricket take place during the IPL seasons.",,open_qa,提问关于印度超级联赛的定义和背景，答案内容开放且涉及百科知识
79,Please extract a list from this paragraph of the brain regions impacted by alcohol-related dementia and separate them using commas.,"Alcohol-related dementia, also called alcohol-related brain damage, occurs as a result of excessive use of alcohol particularly as a substance abuse disorder. Different factors can be involved in this development including thiamine deficiency and age vulnerability. A degree of brain damage is seen in more than 70% of those with alcohol use disorder. Brain regions affected are similar to those that are affected by aging, and also by Alzheimer's disease. Regions showing loss of volume include the frontal, temporal, and parietal lobes, as well as the cerebellum, thalamus, and hippocampus. This loss can be more notable, with greater cognitive impairments seen in those aged 65 years and older.",,information_extraction,The task involves extracting specific brain regions mentioned in the text and listing them in a structured format.
80,What year was the first public school in America founded?,"Boston is one of the oldest municipalities in America, founded on the Shawmut Peninsula in 1630 by Puritan settlers from the English town of the same name. It was the scene of several key events of the American Revolution and the nation's founding, such as the Boston Massacre, the Boston Tea Party, the Battle of Bunker Hill, and the siege of Boston. Upon American independence from Great Britain, the city continued to be an important port and manufacturing hub as well as a center for education and culture. The city has expanded beyond the original peninsula through land reclamation and municipal annexation. Its rich history attracts many tourists, with Faneuil Hall alone drawing more than 20 million visitors per year. Boston's many firsts include the United States' first public park (Boston Common, 1634), first public or state school (Boston Latin School, 1635) first subway system (Tremont Street subway, 1897), and first large public library (Boston Public Library, 1848).",,closeqa,问题询问具体年份，答案可从文本中直接获取
81,What are data warehouses design patterns,"Bottom-up design
In the bottom-up approach, data marts are first created to provide reporting and analytical capabilities for specific business processes. These data marts can then be integrated to create a comprehensive data warehouse. The data warehouse bus architecture is primarily an implementation of ""the bus"", a collection of conformed dimensions and conformed facts, which are dimensions that are shared (in a specific way) between facts in two or more data marts.

Top-down design
The top-down approach is designed using a normalized enterprise data model. ""Atomic"" data, that is, data at the greatest level of detail, are stored in the data warehouse. Dimensional data marts containing data needed for specific business processes or specific departments are created from the data warehouse.

Hybrid design
Data warehouses (DW) often resemble the hub and spokes architecture. Legacy systems feeding the warehouse often include customer relationship management and enterprise resource planning, generating large amounts of data. To consolidate these various data models, and facilitate the extract transform load process, data warehouses often make use of an operational data store, the information from which is parsed into the actual DW. To reduce data redundancy, larger systems often store the data in a normalized way. Data marts for specific reports can then be built on top of the data warehouse.

A hybrid DW database is kept on third normal form to eliminate data redundancy. A normal relational database, however, is not efficient for business intelligence reports where dimensional modeling is prevalent. Small data marts can shop for data from the consolidated warehouse and use the filtered, specific data for the fact tables and dimensions required. The DW provides a single source of information from which the data marts can read, providing a wide range of business information. The hybrid architecture allows a DW to be replaced with a master data management repository where operational (not static) information could reside.

The data vault modeling components follow hub and spokes architecture. This modeling style is a hybrid design, consisting of the best practices from both third normal form and star schema. The data vault model is not a true third normal form, and breaks some of its rules, but it is a top-down architecture with a bottom up design. The data vault model is geared to be strictly a data warehouse. It is not geared to be end-user accessible, which, when built, still requires the use of a data mart or star schema-based release area for business purposes.",,open_qa,提问涉及数据仓库设计模式的定义和分类，答案具有开放性和多样性，需依赖专业知识进行解释。
82,What type of music do U2 make?,"U2 are an Irish rock band from Dublin, formed in 1976. The group consists of Bono (lead vocals and rhythm guitar), the Edge (lead guitar, keyboards, and backing vocals), Adam Clayton (bass guitar), and Larry Mullen Jr. (drums and percussion). Initially rooted in post-punk, U2's musical style has evolved throughout their career, yet has maintained an anthemic quality built on Bono's expressive vocals and the Edge's chiming, effects-based guitar sounds. Bono's lyrics, often embellished with spiritual imagery, focus on personal and sociopolitical themes. Popular for their live performances, the group have staged several ambitious and elaborate tours over their career.",,closeqa,问题询问的是U2乐队的音乐类型，答案可以直接从提供的文本中明确得出，即‘rock’（摇滚）。
83,When did ITV start broadcasting?,"The history of ITV, the United Kingdom ""Independent Television"" commercial network, goes back to 1955.

Independent Television began as a network of independently-owned regional companies that were both broadcasters and programme makers, beginning with four companies operating six stations in three large regions in 1955–1956, and gradually expanding to 17 stations in 14 regions by 1962. Each regional station was responsible for its own branding, scheduling and advertising, with many peak-time programmes shared simultaneously across the whole network.

By 29 February 2016, 12 regions in England and Wales shared national ITV branding and scheduling, and, together with a 13th region UTV in Northern Ireland, were owned by a single company, ITV plc. A further two regions in Scotland carry STV branding and are owned by the STV Group.",,closeqa,问题询问具体时间点，答案可从文本直接提取
84,Who is the singer of the song I'm So Excited?,"""I'm So Excited"" is a song by Australian singer Anja Nissen.",,closeqa,"Question has a specific, direct answer from provided context"
85,As per the passage whose works did Narendranath study?,"In 1871, at the age of eight, Narendranath enrolled at Ishwar Chandra Vidyasagar's Metropolitan Institution, where he went to school until his family moved to Raipur in 1877. In 1879, after his family's return to Calcutta, he was the only student to receive first-division marks in the Presidency College entrance examination.  He was an avid reader in a wide range of subjects, including philosophy, religion, history, social science, art and literature. He was also interested in Hindu scriptures, including the Vedas, the Upanishads, the Bhagavad Gita, the Ramayana, the Mahabharata and the Puranas. Narendra was trained in Indian classical music, and regularly participated in physical exercise, sports and organised activities. Narendra studied Western logic, Western philosophy and European history at the General Assembly's Institution (now known as the Scottish Church College). In 1881, he passed the Fine Arts examination, and completed a Bachelor of Arts degree in 1884. Narendra studied the works of David Hume, Immanuel Kant, Johann Gottlieb Fichte, Baruch Spinoza, Georg W. F. Hegel, Arthur Schopenhauer, Auguste Comte, John Stuart Mill and Charles Darwin. He became fascinated with the evolutionism of Herbert Spencer and corresponded with him, translating Herbert Spencer's book Education (1861) into Bengali. While studying Western philosophers, he also learned Sanskrit scriptures and Bengali literature.",,closeqa,问题明确询问Narendranath具体学习了哪些人的著作，答案可以从提供的文本中直接提取
86,Extract the names of all schools in the text,"Todd, third son of Ira and Sally (Hmman) Todd, was born in Hartwick, New York., March 4, 1813. He had spent one year at Amherst College, before entering as Sophomore at Yale College, where he graduated in 1836. He taught a high school in Canaan, Conn., until the spring of 1837, when he began law studies with Judge Arphaxad Loomis, of Little Falls, New York. Upon his admission to the bar in 1839, he decided to emigrate to the West. He selected St. Louis and arrived there in November, 1839, beginning practice in March, 1840. He gave special attention to questions affecting real property, and achieved distinguished success in litigated cases of this nature. Through apprehensions with regard to his health, he retired in 1860, at a comparatively early age, from active practice, confining himself thereafter to office consultations. He declined all political nominations until 1854, when he was elected to the Missouri House of Representatives. In 1860 he was an unsuccessful candidate for US Congress on the Bell and Everett ticket. In 1875, he was a member of the convention which revised the Constitution of Missouri. He was a director of Washington University, in St. Louis, and served gratuitously for fifteen years in its Law Department as lecturer. Among his students was Lemma Barkaloo, the first female law student in the United States. After a month's illness, he died at his home in St. Louis, of meningitis, April 30, 1885, in his 73rd year.",,information_extraction,Task is to extract specific entities (school names) from text
87,How is Japan written in Japanese?,"Japan (Japanese: 日本, Nippon or Nihon,[nb 1] and formally 日本国, Nihonkoku)[nb 2] is an island country in East Asia. It is situated in the northwest Pacific Ocean and is bordered on the west by the Sea of Japan, extending from the Sea of Okhotsk in the north toward the East China Sea, Philippine Sea, and Taiwan in the south. Japan is a part of the Ring of Fire, and spans an archipelago of 14,125 islands, with the five main islands being Hokkaido, Honshu (the ""mainland""), Shikoku, Kyushu, and Okinawa. Tokyo is the nation's capital and largest city, followed by Yokohama, Osaka, Nagoya, Sapporo, Fukuoka, Kobe, and Kyoto.",,closeqa,问题询问日本名称的日语写法，答案可直接从文本中明确获取（日本、Nippon、Nihon）
88,Why are Guyanese Creole words and phrases considered to be very elastic?,"There are many sub-dialects of Guyanese Creole based on geographical location, urban - rural location, and race of the speakers. For example, along the Rupununi River, where the population is largely Amerindian, a distinct form of Guyanese Creole exists. The Georgetown (capital city) urban area has a distinct accent, while within a forty-five-minute drive away from this area the dialect/accent changes again, especially if following the coast where rural villages are located. As with other Caribbean languages, words and phrases are very elastic, and new ones can be made up, changed or evolve within a short period. They can also be used within a very small group, until picked up by a larger community. Ethnic groups are also known to alter or include words from their own backgrounds. A socially stratified creole speech continuum also exists between Guyanese English and Standard / British English. Speech by members of the upper classes is phonetically closest to British and American English, whereas speech by members of the lower classes most closely resembles other Caribbean English dialects.",,open_qa,问题涉及对语言现象的解释，答案具有开放性和多角度分析
89,What characteristics of the blue oak enable it to survive long periods of drought?,"Quercus douglasii, known as blue oak, is a species of oak endemic to California, common in the Coast Ranges and the foothills of the Sierra Nevada. It is California's most drought-tolerant deciduous oak, and is a dominant species in the blue oak woodland ecosystem. It is occasionally known as mountain oak and iron oak.

Quercus douglasii is the most drought-tolerant of California's deciduous oaks. It has a smaller canopy than less drought-tolerant relatives, and invests proportionally more growth into roots rather than leaves throughout its life cycle. The leathery blue-green leaves contribute to its drought resistance; during drought, the leaf color is more pronounced. Trees can also drop their leaves in summer rather than fall in dry years, but usually continue to develop their acorns through the fall. Drought may cause trees not to flower in spring.

Native Californians commonly gathered Quercus douglasii acorns, which they considered good-tasting, and processed them into acorn flour. They made baskets out of blue oak seedlings, utensils such as bowls from the wood, and dye from the acorns. Commercially, the blue oak is mainly limited to use as firewood. The acorns are eaten by wildlife and livestock. They can be eaten but, if bitter, may need to have the tannins leached.",,open_qa,问题询问蓝橡树的特征如何使其在干旱中生存，答案需基于文本信息进行综合分析和解释，答案不唯一。
90,What were the names of the people who wrote Massive Attack's Unfinished Sympathy? Extract the name and surname into a comma-separated list.,"""Unfinished Sympathy"" is a song by the English trip hop group Massive Attack. It was released on 11 February 1991 under the temporary group name Massive. The song was written by the three band members Robert ""3D"" Del Naja, Andrew ""Mushroom"" Vowles and Grant ""Daddy G"" Marshall, the song's vocalist Shara Nelson and the group's co-producer Jonathan ""Jonny Dollar"" Sharp. It was released on 11 February 1991 as the second single from the band's first album, Blue Lines (1991), on the band's Wild Bunch label distributed by Circa Records. The name ""Massive"" was used to avoid a radio ban, as the track's release coincided with the Gulf War. Produced by Massive Attack and Dollar, the song incorporates various musical elements into its arrangement, including vocal and percussion samples, drum programming and string orchestration by the arranger Wil Malone.

""Unfinished Sympathy"" topped the Dutch Top 40 and was a top-20 hit on the singles charts of several countries, including Germany, Switzerland and the United Kingdom. The accompanying music video, directed by Baillie Walsh, was a single continuous shot of Nelson walking through a Los Angeles neighbourhood, oblivious to her surroundings. Regarded[by whom?] as a pioneering song in the development of British dance music, ""Unfinished Sympathy"" was acclaimed by music critics for its production and Nelson's vocals. It ranked highly on several publications' year-end lists of the best singles of 1991, and has since appeared in many polls of the best songs of all time by both music critics and the public worldwide. The song was later used on the soundtrack of the 1993 film Sliver.",,information_extraction,任务是从文本中提取特定结构化信息（作者的名和姓）
91,What language is spoken on the Aru Islands?,"Batuley (Gwatle lir) is a language spoken on the Aru Islands of eastern Indonesia. It is close to Mariri; Hughes (1987) estimates that around 80% of lexical items are shared. The language's name comes from the Gwatle island (Batuley in Indonesian), which the Batuley consider their homeland (Daigle (2015)).",,closeqa,问题询问特定地点使用的语言，答案可从文本直接明确获取。
92,Extract references to electric fish in ancient texts from the following passage.,"Long before any knowledge of electricity existed, people were aware of shocks from electric fish. Ancient Egyptian texts dating from 2750 BCE referred to these fish as the ""Thunderer of the Nile"", and described them as the ""protectors"" of all other fish. Electric fish were again reported millennia later by ancient Greek, Roman and Arabic naturalists and physicians. Several ancient writers, such as Pliny the Elder and Scribonius Largus, attested to the numbing effect of electric shocks delivered by electric catfish and electric rays, and knew that such shocks could travel along conducting objects. Patients with ailments such as gout or headache were directed to touch electric fish in the hope that the powerful jolt might cure them.
Ancient cultures around the Mediterranean knew that certain objects, such as rods of amber, could be rubbed with cat's fur to attract light objects like feathers. Thales of Miletus made a series of observations on static electricity around 600 BCE, from which he believed that friction rendered amber magnetic, in contrast to minerals such as magnetite, which needed no rubbing.
Thales was incorrect in believing the attraction was due to a magnetic effect, but later science would prove a link between magnetism and electricity. According to a controversial theory, the Parthians may have had knowledge of electroplating, based on the 1936 discovery of the Baghdad Battery, which resembles a galvanic cell, though it is uncertain whether the artifact was electrical in nature.
Electricity would remain little more than an intellectual curiosity for millennia until 1600, when the English scientist William Gilbert wrote De Magnete, in which he made a careful study of electricity and magnetism, distinguishing the lodestone effect from static electricity produced by rubbing amber. He coined the New Latin word electricus (""of amber"" or ""like amber"",, elektron, the Greek word for ""amber"") to refer to the property of attracting small objects after being rubbed. This association gave rise to the English words ""electric"" and ""electricity"", which made their first appearance in print in Thomas Browne's Pseudodoxia Epidemica of 1646.
Further work was conducted in the 17th and early 18th centuries by Otto von Guericke, Robert Boyle, Stephen Gray and C. F. du Fay. Later in the 18th century, Benjamin Franklin conducted extensive research in electricity, selling his possessions to fund his work. In June 1752 he is reputed to have attached a metal key to the bottom of a dampened kite string and flown the kite in a storm-threatened sky. A succession of sparks jumping from the key to the back of his hand showed that lightning was indeed electrical in nature. He also explained the apparently paradoxical behavior of the Leyden jar as a device for storing large amounts of electrical charge in terms of electricity consisting of both positive and negative charges
In 1775, Hugh Williamson reported a series of experiments to the Royal Society on the shocks delivered by the electric eel; that same year the surgeon and anatomist John Hunter described the structure of the fish's electric organs. In 1791, Luigi Galvani published his discovery of bioelectromagnetics, demonstrating that electricity was the medium by which neurons passed signals to the muscles. Alessandro Volta's battery, or voltaic pile, of 1800, made from alternating layers of zinc and copper, provided scientists with a more reliable source of electrical energy than the electrostatic machines previously used. The recognition of electromagnetism, the unity of electric and magnetic phenomena, is due to Hans Christian Ørsted and André-Marie Ampère in 1819–1820. Michael Faraday invented the electric motor in 1821, and Georg Ohm mathematically analysed the electrical circuit in 1827. Electricity and magnetism (and light) were definitively linked by James Clerk Maxwell, in particular in his ""On Physical Lines of Force"" in 1861 and 1862. 
While the early 19th century had seen rapid progress in electrical science, the late 19th century would see the greatest progress in electrical engineering. Through such people as Alexander Graham Bell, Ottó Bláthy, Thomas Edison, Galileo Ferraris, Oliver Heaviside, Ányos Jedlik, William Thomson, 1st Baron Kelvin, Charles Algernon Parsons, Werner von Siemens, Joseph Swan, Reginald Fessenden, Nikola Tesla and George Westinghouse, electricity turned from a scientific curiosity into an essential tool for modern life.
In 1887, Heinrich Hertz discovered that electrodes illuminated with ultraviolet light create electric sparks more easily. In 1905, Albert Einstein published a paper that explained experimental data from the photoelectric effect as being the result of light energy being carried in discrete quantized packets, energising electrons. This discovery led to the quantum revolution. Einstein was awarded the Nobel Prize in Physics in 1921 for ""his discovery of the law of the photoelectric effect"". The photoelectric effect is also employed in photocells such as can be found in solar panels.
The first solid-state device was the ""cat's-whisker detector"" first used in the 1900s in radio receivers. A whisker-like wire is placed lightly in contact with a solid crystal (such as a germanium crystal) to detect a radio signal by the contact junction effect. In a solid-state component, the current is confined to solid elements and compounds engineered specifically to switch and amplify it. Current flow can be understood in two forms: as negatively charged electrons, and as positively charged electron deficiencies called holes. These charges and holes are understood in terms of quantum physics. The building material is most often a crystalline semiconductor.
Solid-state electronics came into its own with the emergence of transistor technology. The first working transistor, a germanium-based point-contact transistor, was invented by John Bardeen and Walter Houser Brattain at Bell Labs in 1947, followed by the bipolar junction transistor in 1948.",,information_extraction,任务要求从文本中抽取关于电鱼的引用信息，属于结构化要素抽取
93,Extract the year that the Balloon typeface was created from the following Wikipedia article.,"Balloon was a brush script commonly used for signage or display purposes. It was designed in 1939 by Max R. Kaufmann, for American Type Founders, in response to Howard Allen Trafton's Cartoon, cut for Bauer Type Foundry in 1936. It had no lowercase letters and was cast in Light, Bold, and Extra Bold. The two lighter weights were identical with Kaufmann Script and so could be used as alternate capitals for that face. It was most notably used in the Madeline books, TV series and film. The font was most famously known for the typeface of the Nickelodeon logo from late 1984 to 2009 in white letters with an orange splat background.

This font was digitized by the now-defunct Bitstream Inc.",,information_extraction,任务是从文本中提取特定结构化信息（年份）
94,Provide a comma separated list of all the universities listed in this passage,"In addition, she has presented on the topic of synesthesia at a number of universities including Yale University, Princeton University, the University of California, San Diego, Rockefeller University, the University of Virginia, the University of Almería, the University of Jaén, Stockholm University and others. Duffy was invited to be a Plenary Speaker on synesthesia at the ""Towards a Science of Consciousness"" conference at University of Arizona in Tucson. She is a co-founder of and consultant to the American Synesthesia Association.",,information_extraction,任务要求从文本中提取特定结构化信息（列举的大学名称）
95,Extract what countries border Greece based on the below text and separate them with a comma,"Greece, officially the Hellenic Republic, is a country in Southeast Europe. It is situated on the southern tip of the Balkan Peninsula, and is located at the crossroads of Europe, Asia, and Africa. Greece shares land borders with Albania to the northwest, North Macedonia and Bulgaria to the north, and Turkey to the northeast. The Aegean Sea lies to the east of the mainland, the Ionian Sea to the west, and the Sea of Crete and the Mediterranean Sea to the south. Greece has the longest coastline on the Mediterranean Basin, featuring thousands of islands. The country consists of nine traditional geographic regions, and has a population of approximately 10.5 million. Athens is the nation's capital and largest city, followed by Thessaloniki and Patras.",,information_extraction,任务是从文本中提取与希腊接壤的国家名称，属于从文本中抽取结构化信息的范畴。
96,Extract and list the names of characters a player can control in The Last of Us mentioned in the paragraph. Also describe relationships between those characters.,"The Last of Us is an action-adventure game played from a third-person perspective. The player traverses post-apocalyptic environments such as towns, buildings, forests, and sewers to advance the story. The player can use firearms, improvised weapons, hand-to-hand combat, and stealth to defend against hostile humans and cannibalistic creatures infected by a mutated strain of the Cordyceps fungus. For most of the game, the player takes control of Joel, a man tasked with escorting a young girl, Ellie, across the United States. The player also controls Ellie throughout the game's winter segment and briefly controls Joel's daughter, Sarah, in the opening sequence.",,information_extraction,任务是从文本中提取特定结构化信息（可操控角色名及其关系）
97,"Based on this passage, how many siblings did Hearst have?","Hearst was born near present-day Sullivan, Missouri, to William G. Hearst and Elizabeth Collins, who were of Scots-Irish ancestry. Hearst, one of three children — two boys and a girl – was raised in a log cabin on his family's farm in rural Franklin County. His father operated three small farms, all of which were mortgaged. William Hearst sold his products in his own local general store. George Hearst grew up before public education was widely available in Missouri, meaning his elementary education was inconsistent and fragmented. Becoming interested in mining, Hearst supplemented the gaps in his formal education by observing the local mines, reading information about minerals from books owned by his family doctor, Silas Reed, and mining in his free time.",,closeqa,问题询问具体数字（siblings），答案可从文中直接提取
98,"If the year is 2013, is the Samsung E1200 being produced?",The Samsung E1200 (also known as Samsung Pusha and Samsung Keystone 2) is a mobile phone made by Samsung. This phone was released in 2012 through Tesco in the UK. It was discontinued in 2015 when the Samsung Guru FM E1202 was released as its successor.,,closeqa,问题有明确的时间点和产品生产状态判定，答案可从文本直接得出。
99,What are two species of beavers?,"Beavers (genus Castor) are large, semiaquatic rodents of the Northern Hemisphere. There are two extant species: the North American beaver (Castor canadensis) and the Eurasian beaver (C. fiber). Beavers are the second-largest living rodents, after capybaras. Beavers have stout bodies with large heads, long chisel-like incisors, brown or gray fur, hand-like front feet, webbed back feet, and tails that are flat and scaly. The two species differ in skull and tail shape and fur color. Beavers can be found in a number of freshwater habitats, such as rivers, streams, lakes and ponds. They are herbivorous, consuming tree bark, aquatic plants, grasses and sedges.",,open_qa,提问关于河狸的两个物种，答案开放且需依赖百科知识
100,What are some examples of plants that grow around Stanwell-Fletcher Lake?  Use a numbered list.,"Stanwell-Fletcher Lake is the largest lake on Somerset Island, the tenth-largest island of the Canadian Arctic Archipelago. The lake, along with most of Somerset Island, is located within the Qikiqtaaluk Region of the Canadian territory of Nunavut.

The harsh tundral climate and minimal soil cover of the highlands surrounding the lake allows only a few types of plants to grow there, mostly lichens, mosses, and arctic willow. Vegetation is more prominent in the thermokarst lowlands to the north of the lake, which are dominated by sedges during the summer. The low-lying areas to the southeast of the lake, and the nearby Creswell Bay, host a Canadian Important Bird Area. The area supports large bird populations during the summer, especially breeding populations of various shorebirds. 13 shorebird species have been observed in the area, while 11 are known to breed there. These species includes the white-rumped sandpiper, red phalarope, black-bellied plover, sanderling, American golden plover, ruddy turnstone, Baird's sandpiper, buff-breasted sandpiper, pectoral sandpiper, semipalmated sandpiper, and red knot. Other birds with populations in the area include the snow goose, king eider, long-tailed duck, northern fulmar, black-legged kittiwake, and peregrine falcon. Stanwell-Fletcher Lake is also a large and important habitat for anadromous populations of arctic char, which spend summer in coastal areas including Creswell Bay and surrounding waters, but migrate via the Union River to in the lake before it freezes over. Fourhorn sculpin are also present within the lake.",,open_qa,提问要求列举特定地点周边生长的植物示例，答案具有开放性和多样性，需基于描述性信息进行归纳和总结，不属于封闭式问答或信息抽取等其他类型。
101,What are some common proteins in tacos?,,,open_qa,提问关于常见蛋白质的开放式知识问题
102,Give me a list of some of the core beliefs in Stoicism,,,brainstorming,请求列出斯多葛主义的核心信念，属于要求提供观点或理念的列表式建议
103,How to prepare without baking dessert recipe -Banana Pudding?,,,general_qa,询问如何准备无需烘焙的香蕉布丁食谱，属于日常咨询类问题
